RSNdP, Kirvani or Nat Bhairav
RSgMP, Bhimpalasi or Patadeep
RSgMD, Bageshree
RSgmP, Madhuvanti
RSdnP, Adana
RSnPG, Gaud Malhar or Tilanga
RSnPM, Vrindavani Sarang or Madmaad Sarang
RSnPg, Bahaar or Malhar or Nayaki Kanada or Ramadasimalhar or Shahanakanada
RSnDM, Bageshree or Gorakh Kalyan or Rageshri or Jinjhoti
RSnDP, Barawa or Bhimpalasi or Janasammohini or Jaijaivanti or Kafi or Khamaj or Kolahas or Saraswati or Soora Malhar or Sorath
RSndP, Charukeshi or Jaunpuri
RSndn, Darbari Kanada
RGSRG, Tilakakamod
RGSRM, Tilakakamod
RGRSG, Shankara
RGRSN, Shankara
RGRGS, Des
RGRGP, Bilawal
RGRgR, Jaijaivanti
RGMGR, Yaman Kalyan
RGMPM, Charukeshi or Chhayanat or Jaijaivanti
RGMPP, Chhayanat
RGMPD, Chhayanat
RGMPN, Jaijaivanti
RGMPg, Ramadasimalhar
RGMPm, Chhayanat
RGMPd, Charukeshi
RGMPn, Ramadasimalhar
RGPRG, Shankara
RGPDS, Bhoopali or Deshkar or Shuddha Kalyan
RGPDP, Bhoopali or Bilawal or Deshkar or Janasammohini or Shuddha Kalyan
RGPDN, Bilawal
RGPDn, Bilawal or Janasammohini
RGPNS, Hansadhwani
RGPNP, Hansadhwani
RGPND, Shankara
RGmDP, Yaman or Yaman Kalyan
RGmDN, Rajakalyan or Yaman or Yaman Kalyan
RGmDm, Rajakalyan
RMRMP, Gorakh Kalyan
RMGSR, Tilakakamod
RMGSM, Jinjhoti
RMGRG, Des
RMGPM, Barawa
RMGPD, Barawa
RMGPg, Barawa
RMPMR, Gorakh Kalyan
RMPMP, Gorakh Kalyan
RMPMD, Gorakh Kalyan
RMPDS, Barawa or Durga or Kafi or Jinjhoti
RMPDM, Des or Soora Malhar or Jinjhoti
RMPDP, Barawa or Durga or Kafi or Soora Malhar
