
SGmGM, Paraj
SGmGr, Basant or Sohani
SGmPS, Amritvarshini
SGmPG, Amritvarshini
SGmPP, Amritvarshini
SGmPN, Amritvarshini or Marubihag
SGmPm, Amritvarshini
SGmDS, Hindol or Sohani
SGmDG, Hindol or Sohani
SGmDD, Hindol or Sohani
SGmDN, Hindol or Marwa or Pooriya or Rajakalyan or Sohani or Yaman or Yaman Kalyan
SGmDr, Sohani
SGmDm, Hindol or Sohani
SGmrG, Pooriya
SGmdS, Paraj
SGmdG, Paraj
SGmdM, Paraj
SGmdP, Paraj
SGmdN, Basant or Paraj or Pooriya Dhanashree or Poorvi
SGmdr, Paraj
SGmdm, Paraj
SGmdd, Paraj
SMRSS, Jinjhoti
SMRSR, Jinjhoti
SMRSG, Jinjhoti
SMRSM, Malhar or Jinjhoti
SMRSP, Jinjhoti
SMRSD, Jinjhoti
SMRSn, Malhar or Jinjhoti
SMRMP, Gorakh Kalyan or Jinjhoti
SMRPS, Gaud Malhar or Malhar
SMRPR, Gaud Malhar or Malhar
SMRPG, Gaud Malhar
SMRPM, Gaud Malhar or Malhar
SMRPP, Gaud Malhar or Malhar
SMRPD, Gaud Malhar or Malhar
SMRPN, Gaud Malhar or Malhar
SMRPg, Malhar
SMRPn, Gaud Malhar or Malhar
SMGSR, Tilakakamod
SMGSM, Jinjhoti
SMGRS, Bihag or Bihagda or Bilawal or Charukeshi or Chhayanat or Gaud Malhar or Khamaj or Mand or Marubihag or Nat Bhairav or Rageshri or Tilanga or Yaman Kalyan
SMGRG, Des
SMGRg, Jaijaivanti
SMGMG, Ahir Bhairav or Bhairav or Nat Bhairav
SMGMD, Nand
SMGPS, Kedar
SMGPR, Kedar
SMGPG, Bhatiyar or Kedar
SMGPM, Barawa or Kedar
SMGPP, Kedar
SMGPD, Kedar
SMGPN, Kedar
SMGPm, Kedar
SMGrS, Ahir Bhairav or Basant or Bhairav or Jogiya or Kalingada or Lalat or Paraj or Poorvi or Ramakali
SMGmS, Basant or Marubihag
SMGmR, Marubihag
SMGmG, Basant or Marubihag
SMGmP, Basant or Marubihag
SMGmD, Marubihag
SMGmN, Basant or Marubihag
SMGmr, Basant
SMGmm, Basant or Marubihag
SMGmd, Basant
SMMrS, Bairagi
SMPMR, Gorakh Kalyan
SMPDS, Durga
SMPDM, Bageshree or Des
SMPDN, Mand or Nand
SMPDn, Ahir Bhairav or Barawa or Kafi or Khamaj or Soora Malhar or Jinjhoti
SMPNS, Bihag or Bihagda or Vrindavani Sarang or Des or Jaijaivanti or Patadeep or Soora Malhar or Sorath or Tilakakamod or Tilanga
SMPgR, Bhimpalasi or Jaunpuri
SMPgM, Bahaar or Bhairavi or Shahanakanada
SMPmP, Chhayanat
SMPdS, Gunakali or Jogiya
SMPdN, Bhairav or Kalingada or Kirvani or Nat Bhairav
SMPdn, Adana or Charukeshi or Darbari Kanada or Jaunpuri
SMPnS, Bahaar or Bairagi or Bhimpalasi or Dhani or Jog or Madmaad Sarang or Nayaki Kanada
SMPnR, Bahaar
SMPnM, Bahaar
SMPnP, Bahaar
SMPnD, Bahaar or Gaud Malhar or Ramadasimalhar
SMPng, Bahaar
SMPnn, Bahaar
SMDPM, Nand
SMDNS, Bhinna Shadja
SMDnS, Bageshree or Bageshrikauns or Gorakh Kalyan or Parameshwari or Rageshri or Shahanakanada
SMNDN, Hameer
SMgRS, Abhogi or Bageshree or Barawa or Kafi or Kirvani or Patadeep
SMgMP, Darbari Kanada
SMgrS, Bilaskhani Todi or Parameshwari
SMdNS, Chandrakauns or Jogkauns or Lalat or Ramakali
SMdnS, Bhairavi or Malkauns
SPRGR, Shankara
SPGRS, Bhoopali or Deshkar or Hansadhwani or Janasammohini
SPGMR, Hameer or Kamod or Shyam Kalyan
SPGMG, Bihag or Bihagda or Ramakali or Tilanga
SPGPR, Shankara
SPGPD, Gaud Malhar
SPGrS, Bhatiyar or Bibhas or Jait
SPMRS, Vrindavani Sarang or Durga or Gorakh Kalyan or Kedar or Madmaad Sarang or Nand or Shuddha Sarang or Soora Malhar
SPMGR, Bilawal or Charukeshi or Chhayanat or Gaud Malhar or Jaijaivanti or Khamaj or Mand
SPMGM, Ahir Bhairav or Bhairav or Nand or Nat Bhairav
SPMGP, Bhatiyar
SPMGr, Jogiya or Kalingada
SPMMr, Bairagi
SPMPg, Bhairavi or Bhimpalasi
SPMPn, Gaud Malhar
SPMrS, Gunakali
SPMgS, Dhani
SPMgR, Barawa or Kafi or Kirvani or Patadeep
SPPmD, Chhayanat
SPDMS, Tilakakamod
SPDMR, Sorath or Tilakakamod
SPDMG, Des or Tilakakamod
SPDMM, Tilakakamod
SPDMP, Tilakakamod
SPDMD, Tilakakamod
SPDMN, Tilakakamod
SPDMg, Bageshree
SPDPM, Gaud Malhar or Kedar
SPDPN, Kamod
SPDNS, Bilawal or Chhayanat or Mand
SPDNP, Nand
SPDnS, Ahir Bhairav or Janasammohini or Kalavati or Khamaj or Kolahas or Salag Varali
SPDnD, Barawa or Bihagda or Kafi or Soora Malhar or Jinjhoti
SPNDS, Shankara
SPgRS, Bhimpalasi or Jaunpuri or Kolahas or Shivaranjani
SPgRM, Barawa
SPgMR, Adana or Bahaar or Darbari Kanada or Malhar or Nayaki Kanada or Ramadasimalhar or Shahanakanada
SPgMD, Shahanakanada
SPgMr, Bhairavi
SPgrS, Bhoopali Todi or Salag Varali
SPmRS, Saraswati
SPmGS, Amritvarshini
SPmGR, Marubihag or Shuddha Kalyan or Yaman
SPmGM, Paraj or Poorvi or Yaman Kalyan
SPmGr, Pooriya Dhanashree
SPmGm, Basant
SPmPG, Bihag or Hameer or Shyam Kalyan
SPmPM, Chhayanat
SPmPD, Chhayanat or Kedar
SPmPN, Kedar
SPmPd, Ramakali
SPmDP, Chhayanat
SPmgS, Madhukauns
SPmgR, Madhuvanti
SPmgr, Multani or Todi
SPdMP, Jaunpuri
SPdNS, Bhairav or Kalingada or Kirvani or Nat Bhairav
SPdmG, Shree
SPdnS, Adana or Charukeshi or Darbari Kanada or Jaunpuri
SPdnd, Ramakali
SPnDN, Bahaar or Gaud Malhar or Malhar or Ramadasimalhar
SDMRS, Sorath
SDMRM, Gorakh Kalyan
SDMGS, Bhinna Shadja or Tilakakamod or Jinjhoti
SDMGR, Des or Rageshri
SDMPD, Bageshree or Des
SDMPN, Soora Malhar
SDMDS, Abhogi
SDMgS, Abhogi or Bageshrikauns
SDMgR, Abhogi or Bageshree
SDMgM, Abhogi
SDMgD, Abhogi
SDMgr, Parameshwari
SDMgg, Abhogi
SDPGS, Bhoopali or Deshkar or Jait or Kalavati or Kamod
SDPGR, Bhoopali or Deshkar or Janasammohini or Kamod
SDPGG, Bhoopali or Deshkar or Jait or Kamod
SDPGM, Bihagda or Kamod
SDPGP, Bhoopali or Deshkar or Jait or Kamod
SDPGD, Bhoopali or Deshkar or Jait or Kamod
SDPGN, Kamod
SDPGr, Jait
SDPGm, Kamod
SDPMS, Durga
SDPMR, Durga or Kedar or Nand or Shuddha Sarang or Soora Malhar
SDPMG, Ahir Bhairav or Bhatiyar or Bilawal or Gaud Malhar or Jaijaivanti or Khamaj or Mand or Nand
SDPMM, Durga
SDPMP, Bhimpalasi or Durga
SDPMD, Durga
SDPMg, Kafi or Patadeep
SDPPm, Chhayanat
SDPDS, Bhoopali or Deshkar or Durga or Jait or Shivaranjani
SDPDM, Sorath
SDPDP, Kamod
SDPDn, Bihagda
SDPNS, Kamod
SDPgS, Shivaranjani
SDPgR, Barawa or Kolahas or Shivaranjani
SDPgP, Shivaranjani
SDPgD, Shivaranjani
SDPgr, Salag Varali
SDPgg, Shivaranjani
SDPmR, Saraswati
SDPmG, Marubihag or Shuddha Kalyan or Yaman or Yaman Kalyan
SDPmP, Bihag or Chhayanat or Hameer or Kedar or Shyam Kalyan
SDPmg, Madhuvanti
SDNSr, Sohani
SDNPS, Nand
SDNrS, Marwa or Pooriya
SDmGS, Hindol
SDmGR, Rajakalyan
SDmGr, Marwa or Sohani
SDmGm, Pooriya
SDnDS, Barawa or Kafi or Jinjhoti
SDnDM, Soora Malhar
SDnDP, Bihagda or Bilawal or Chhayanat
SNSrS, Sohani
SNRGm, Rajakalyan or Yaman or Yaman Kalyan
SNPRG, Shankara
SNPGS, Hansadhwani or Shankara
SNPGR, Hansadhwani or Shankara
SNPGG, Hansadhwani or Shankara
SNPGP, Hansadhwani or Shankara
SNPGD, Shankara
SNPGN, Hansadhwani or Shankara
SNPNS, Amritvarshini or Hansadhwani
SNPND, Shankara
SNPmS, Amritvarshini
SNPmG, Amritvarshini
SNPmP, Amritvarshini
SNPmN, Amritvarshini
SNPmm, Amritvarshini
SNDMS, Bhinna Shadja
SNDMG, Bhinna Shadja
SNDMM, Bhinna Shadja
SNDMD, Bhinna Shadja
SNDMN, Bhinna Shadja
SNDPS, Bihag or Bihagda or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPR, Bihag or Bihagda or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPG, Bihag or Bihagda or Hameer or Kedar or Mand or Marubihag or Nand or Shuddha Kalyan or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPM, Bhatiyar or Bihag or Bihagda or Bilawal or Hameer or Kedar or Mand or Marubihag or Nand or Patadeep or Shuddha Sarang or Shyam Kalyan or Yaman Kalyan
SNDPP, Bihag or Bihagda or Chhayanat or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPD, Bihag or Bihagda or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPN, Bihag or Bihagda or Hameer or Kedar or Madhuvanti or Mand or Marubihag or Nand or Patadeep or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPg, Madhuvanti or Patadeep
SNDPm, Bihag or Chhayanat or Hameer or Kedar or Madhuvanti or Marubihag or Shuddha Kalyan or Shuddha Sarang or Shyam Kalyan or Yaman or Yaman Kalyan
SNDPn, Bihagda
SNDNS, Bhinna Shadja or Bilawal or Chhayanat or Hameer or Hindol or Mand or Rajakalyan or Sohani or Yaman or Yaman Kalyan
SNDNP, Nand
SNDND, Hameer
SNDNr, Pooriya
SNDmS, Hindol or Pooriya or Rajakalyan or Sohani
SNDmR, Rajakalyan
SNDmG, Hindol or Marwa or Pooriya or Rajakalyan or Sohani
SNDmD, Hindol or Pooriya or Rajakalyan or Sohani
SNDmN, Hindol or Pooriya or Rajakalyan or Sohani
SNDmr, Pooriya or Sohani
SNDmm, Hindol or Pooriya or Rajakalyan or Sohani
SNDnS, Bilawal or Chhayanat
SNDnR, Bilawal or Chhayanat
SNDnG, Bilawal or Chhayanat
SNDnM, Bilawal or Chhayanat
SNDnP, Bilawal or Chhayanat
SNDnD, Bihagda or Bilawal or Chhayanat
SNDnm, Chhayanat
SNDnn, Bilawal or Chhayanat
SNrSN, Pooriya
SNrGM, Lalat
SNrGr, Pooriya
SNrGm, Pooriya or Pooriya Dhanashree or Poorvi
SNdSG, Paraj
SNdSN, Paraj
SNdMS, Chandrakauns
SNdMM, Chandrakauns
SNdMN, Chandrakauns
SNdMg, Chandrakauns
SNdMd, Chandrakauns
SNdPS, Basant or Bhairav or Jogiya or Kalingada or Kirvani or Multani or Nat Bhairav or Poorvi or Ramakali or Todi
SNdPR, Kirvani or Nat Bhairav
SNdPG, Basant or Bhairav or Jogiya or Kalingada or Nat Bhairav or Poorvi or Ramakali
SNdPM, Basant or Bhairav or Jogkauns or Jogiya or Kalingada or Kirvani or Nat Bhairav or Poorvi or Ramakali
SNdPP, Basant or Bhairav or Jogiya or Kalingada or Kirvani or Multani or Nat Bhairav or Poorvi or Ramakali or Todi
SNdPN, Basant or Bhairav or Jogiya or Kalingada or Kirvani or Multani or Nat Bhairav or Poorvi or Ramakali or Todi
SNdPr, Basant or Bhairav or Jogiya or Kalingada or Multani or Poorvi or Ramakali or Todi
SNdPg, Kirvani or Multani or Todi
SNdPm, Basant or Multani or Paraj or Pooriya Dhanashree or Poorvi or Ramakali or Todi
SNdPd, Basant or Bhairav or Jogiya or Kalingada or Kirvani or Multani or Nat Bhairav or Poorvi or Ramakali or Shree or Todi
SNdPn, Ramakali
SNdNS, Basant or Bhairav or Chandrakauns or Gujari Todi or Jogkauns or Kalingada or Kirvani or Lalat or Nat Bhairav or Paraj or Poorvi or Ramakali or Todi
SNdNG, Paraj
SNdNM, Paraj
SNdNP, Paraj
SNdNN, Paraj
SNdNr, Paraj
SNdNm, Paraj
SNdNd, Paraj
SNdmS, Gujari Todi or Lalat
SNdmG, Lalat
SNdmN, Gujari Todi or Lalat
SNdmr, Gujari Todi or Lalat
SNdmg, Gujari Todi
SNdmm, Gujari Todi or Lalat
SNdmd, Gujari Todi or Lalat
SNdnS, Jogkauns
SNdnG, Jogkauns
SNdnM, Jogkauns
SNdnP, Jogkauns
SNdng, Jogkauns
SNdnd, Jogkauns or Ramakali
SNdnn, Jogkauns
SrSGm, Sohani
SrSND, Pooriya or Sohani
SrSrS, Sohani
SrGMS, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SrGMG, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SrGMM, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SrGMP, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SrGMD, Ahir Bhairav or Bhatiyar
SrGMN, Bhairav or Bhatiyar or Kalingada
SrGMr, Ahir Bhairav or Bhairav or Bhatiyar or Kalingada
SrGMd, Bhairav or Kalingada
SrGMn, Ahir Bhairav
SrGPS, Bibhas or Jait
SrGPG, Bhatiyar or Bibhas or Jait
SrGPP, Bibhas or Jait
SrGPD, Jait
SrGPr, Bibhas or Jait
SrGPd, Bibhas
SrGrS, Ahir Bhairav or Bhairav or Bhatiyar or Bibhas or Jait or Kalingada or Pooriya
SrGmD, Marwa or Pooriya
SrGmd, Pooriya Dhanashree or Poorvi
SrMGr, Jogiya
SrMMr, Bairagi
SrMPS, Bairagi or Gunakali or Jogiya
SrMPG, Jogiya
SrMPM, Bairagi or Gunakali or Jogiya
SrMPP, Bairagi or Gunakali or Jogiya
SrMPN, Jogiya
SrMPr, Bairagi or Gunakali or Jogiya
SrMPd, Gunakali or Jogiya
SrMPn, Bairagi
SrMrS, Bairagi or Gunakali
SrNDP, Bhatiyar
SrNDm, Marwa
SrNdP, Pooriya Dhanashree or Shree
SrgMS, Parameshwari
SrgMM, Parameshwari
SrgMD, Parameshwari
SrgMr, Parameshwari
SrgMg, Parameshwari
SrgMn, Parameshwari
SrgPS, Bhoopali Todi or Bilaskhani Todi or Salag Varali
SrgPM, Bilaskhani Todi
SrgPP, Bhoopali Todi or Bilaskhani Todi or Salag Varali
SrgPD, Salag Varali
SrgPr, Bhoopali Todi or Bilaskhani Todi or Salag Varali
SrgPg, Bhoopali Todi or Bilaskhani Todi or Salag Varali
SrgPd, Bhoopali Todi or Bilaskhani Todi
SrgPn, Bilaskhani Todi or Salag Varali
SrgrS, Bhoopali Todi or Bilaskhani Todi or Gujari Todi or Parameshwari or Salag Varali or Todi
SrgmS, Gujari Todi or Todi
SrgmP, Todi
SrgmN, Gujari Todi or Todi
Srgmr, Gujari Todi or Todi
Srgmg, Gujari Todi or Todi
Srgmm, Gujari Todi or Todi
